"Référence";"Contenu";"Objectif";"Thématique";"Cibles"
"1.1-EI/EE";"L’entité liste l’ensemble de ses activités et services, y compris les activités et services qui ne correspondent pas aux critères pour lesquels l’entité constitue une entité importante ou essentielle (par exemple : une entité essentielle au titre d’une activité exploitation d’un oléoduc doit lister, en plus des activités et services participant à l’exploitation de l’oléoduc, tous les services et les autres activités qu’elle fournit).
Pour chaque entrée de cette liste, l’entité :
•	identifie un responsable de l’activité ou du service (par exemple le chef de service auquel est rattachée l'activité ou le service, un directeur métier, la direction générale) ;
•	liste les systèmes d’information les supportant.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle"
"1.2-EI/EE";"L’entité précise dans la liste prévue au 1.1-EI/EE les systèmes d’information qui ne sont exposés à aucun des risques mentionnés à l’alinéa 2 de l’objectif de sécurité.
L’entité renseigne les justifications de ces choix.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle"
"1.3-EI/EE";"L’entité valide et réexamine annuellement la liste prévue au 1.1-EI/EE, et en tant que de besoin, notamment en cas d’évolution des activités et services de l’entité ou en cas de mise en service d’un nouveau système d’information.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle"
"2.A.1-EI/EE";"Le dirigeant exécutif de l’entité est responsable de la sécurité numérique au sein de son entité et en particulier du suivi de la conformité des systèmes d’information aux présentes mesures.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteImportante, EntiteEssentielle"
"2.A.2-EE";"Il désigne au moins une personne qui le conseille et l’accompagne dans l’exercice de cette responsabilité. Cette personne est le point de contact privilégié de l’Agence nationale de la sécurité des systèmes d’information pour tous les sujets relatifs à la sécurité numérique (notamment incidents de sécurité, communications de l’ANSSI sur les sujets relatifs aux entités essentielles)";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteEssentielle"
"2.A.3-EI/EE";"L’entité définit et met en œuvre une organisation adaptée pour assurer sa sécurité numérique (par exemple : la désignation d’un responsable de la sécurité numérique, l’établissement d’un RACI, la mise en place d’une comitologie).";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteImportante, EntiteEssentielle"
"2.B.1-EI/EE";"L’entité définit et met en œuvre une politique de sécurité des systèmes d’information (PSSI).";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle"
"2.B.2-EI/EE";"Cette PSSI comprend au moins :
•	L’organisation de la gouvernance de la sécurité numérique et notamment les rôles et les responsabilités du personnel interne et externe (par exemple : prestataires, fournisseurs) ;
•	Les orientations et objectifs stratégiques en matière de sécurité numérique déclinés de la stratégie globale de l’entité ;
•	L’engagement du dirigeant exécutif de l’entité à assurer la sécurité numérique des systèmes d’information dont il est responsable ;
•	L’engagement du dirigeant exécutif de l’entité à respecter les exigences légales et réglementaires et en particulier celles définies dans la transposition nationale de la directive NIS 2.
•	La PSSI tient également compte des exigences, procédures et spécificités propres au(x) secteur(s) dans lesquels l’entité exerce ses activités.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle"
"2.B.3-EI/EE";"Le dirigeant exécutif de l’entité approuve la PSSI.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle"
"2.B.4-EI/EE";"La PSSI est au minimum revue annuellement et mise à jour lorsque nécessaire, notamment en cas d’évolutions majeures de la menace, du contexte métier, technique ou organisationnel intervenues après son approbation.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle"
"2.B.5-EI/EE";"L’entité décline, en tant que de besoin, la PSSI en politiques de sécurité relatives à des thèmes précis permettant de couvrir tout ou partie des présentes mesures.
En particulier, l’entité définit et met en œuvre, au minimum, des politiques de sécurité en matière :
•	D’usage du chiffrement ;
•	De contrôle d’accès physique et logique ;
•	De revue de l’application des mesures de sécurité mises en œuvre ;
•	De gestion des comptes.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle"
"2.C.1-EI/EE";"Pour chaque système d’information, l’entité réalise et maintient à jour une analyse de la conformité du système d’information vis-à-vis des mesures du présent référentiel.
L’analyse de la conformité identifie les éventuels écarts entre les mesures mises en œuvre par l’entité et les mesures prévues dans le présent référentiel.
Cette analyse tient compte de la PSSI de l’entité.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Gestion de la conformité";"EntiteImportante, EntiteEssentielle"
"2.C.2-EI/EE";"L’entité établit, met en œuvre et suit dans la durée un plan d’action adapté à la structure et à l’environnement dans lequel elle opère afin de corriger ces écarts dans les meilleurs délais.
La responsabilité de ce plan d’action est déterminée au regard du cadre de gouvernance de la sécurité numérique mis en place.
Ce plan d’action prévoit, au minimum, une échéance raisonnable au regard du besoin de sécurisation du système d’information et un responsable pour la réalisation de chaque action.
Ce plan d’action ne préjuge pas de l’appréciation du respect de ses obligations légales et réglementaires lors d’un contrôle de l’ANSSI.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Gestion de la conformité";"EntiteImportante, EntiteEssentielle"
"2.C.3-EI/EE";"Lorsque l’entité n’est pas tenue de mettre en œuvre le référentiel mais qu’elle décide de l’appliquer pour démontrer sa conformité aux objectifs de sécurité, et qu’elle applique une ou plusieurs mesures alternatives aux moyens acceptables de conformité du référentiel, elle en précise les justifications dans son analyse de la conformité. L’ANSSI peut apprécier la pertinence de la mesure retenue pour satisfaire la mesure du référentiel non retenue lors d’un contrôle.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Gestion de la conformité";"EntiteImportante, EntiteEssentielle"
"3.A.1-EI/EE";"L’entité définit et maintient à jour une cartographie de l’écosystème dans lequel ses systèmes d’information sont mis en œuvre et contenant, au minimum, les informations suivantes :
•	La liste des prestataires et fournisseurs informatiques contribuant à la réalisation des activités ou des services de l’entité et avec lesquels il existe une relation de droit ou de fait (par exemple : prestataire d’infogérance, matériels et services fournis par la maison mère à une filiale, fournisseur de matériel informatique)
•	La liste des interconnexions avec les systèmes d’information de l’entité.
(Cette liste peut s’appuyer sur les démarches déjà réalisées par l’entité pour réaliser une telle liste. Par exemple, la déclaration de sous-traitance réalisée dans le cadre d’un contrat de la commande publique).";"Objectif de sécurité 3: Maîtrise de l'écosystème";"Cartographie de l'écosystème";"EntiteImportante, EntiteEssentielle"
"3.A.2-EI/EE";"L’entité renseigne et maintient à jour les coordonnées d’au moins un point de contact pour chaque entrée figurant dans la cartographie de l’écosystème.";"Objectif de sécurité 3: Maîtrise de l'écosystème";"Cartographie de l'écosystème";"EntiteImportante, EntiteEssentielle"
"3.B.1-EI/EE";"En cas de recours à un prestataire ou à un fournisseur informatique, l’entité s’assure que la prestation est conforme aux obligations auxquelles l’entité est assujettie, notamment en matière de gestion des risques qui menacent la sécurité de leurs réseaux et systèmes d’information et de notification des incidents importants et s’assure de disposer des assurances contractuelles de cette conformité (par exemple : plan d’assurance sécurité, charte de télémaintenance, mise en place d’indicateurs de suivi de la conformité).";"Objectif de sécurité 3: Maîtrise de l'écosystème";"Sécurité numérique dans les contrats avec les prestataires et fournisseurs informatiques";"EntiteImportante, EntiteEssentielle"
"3.B.2-EI/EE";"L'entité vérifie périodiquement la conformité de la prestation aux obligations auxquelles l’entité est assujettie notamment en matière de gestion des risques qui menacent la sécurité de leurs réseaux et systèmes d’information et de notification des incidents importants. L’entité peut s’appuyer sur des audits dont les conditions sont précisées par les Moyens acceptables de conformité 17.2-EE, 17.4-EE et 17.5-EE relatifs à l’audit.";"Objectif de sécurité 3: Maîtrise de l'écosystème";"Sécurité numérique dans les contrats avec les prestataires et fournisseurs informatiques";"EntiteImportante, EntiteEssentielle"
"4.1-EI/EE";"L'entité définit et met en œuvre une charte d'usage des systèmes d'information, et la rend opposable à chacun des utilisateurs de ces systèmes d'information.
Cette charte peut prévoir des dispositions spécifiques pour les administrateurs.
Cette charte peut également couvrir les systèmes d'information pour lesquels l'entité a décidé de ne pas appliquer les objectifs de sécurité.";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteImportante, EntiteEssentielle"
"4.2-EI/EE";"L’entité définit et met en œuvre un programme de sensibilisation à la sécurité numérique de l’ensemble des utilisateurs.
Ce programme doit comporter des actions tout au long de la présence des utilisateurs dans l’entité.";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteImportante, EntiteEssentielle"
"4.3-EE";"L’entité prévoit des clauses de sécurité dans ses contrats de travail (par exemple : clauses de confidentialité de nature à garantir la confidentialité des informations auxquelles les salariés ont accès au cours de leur contrat et à l’issu de celui-ci).";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteEssentielle"
"4.4-EI/EE";"L’entité définit et met en œuvre un processus de gestion des arrivées, des départs et des changements de fonction des personnels et des tiers accédant aux systèmes d’information. Ce processus prévoit :
•	La prise de connaissance des règles de sécurité en vigueur lors leur arrivée ;
•	L’attribution des accès appropriés lors de leur arrivée ;
•	La mise à jour des accès lors d’un changement de fonction ;
•	Lors du départ, la restitution de l’ensemble du matériel qui a été mis à disposition et la désactivation de l’ensemble des accès logiques aux systèmes d’information et physiques aux locaux et salles.";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteImportante, EntiteEssentielle"
"4.5-EI/EE";"L’entité définit et met en œuvre, pour les fonctions assumant des responsabilités dans le domaine du numérique, un programme de formations dédiées à la sécurité numérique adapté à leurs responsabilités.";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteImportante, EntiteEssentielle"
"5.A.1-EI/EE";"L’entité élabore et maintient à jour au moins une cartographie de ses systèmes d’information dont le niveau de détail est suffisant pour lui permettre :
o	d’assurer le maintien en condition opérationnelles et de sécurité de ces systèmes (par exemple : être capable d’identifier les ressources matérielles ou logicielles vulnérables suite à la publication d’un bulletin d’alerte) ;
o	de pouvoir réagir sans retard injustifié à un incident de sécurité affectant ces systèmes d’information (par exemple : être capable d’identifier les ressources matérielles ou logicielles affectées par un incident de sécurité et ainsi limiter les conséquences de l’incident).
Cette cartographie peut s’appuyer sur les recommandations de l’autorité nationale de sécurité des systèmes d’information en matière de cartographie.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Cartographie des systèmes d'information";"EntiteImportante, EntiteEssentielle"
"5.B.1-EE";"L’entité élabore, met en œuvre et maintient à jour une procédure de maintien en conditions opérationnelle et de sécurité des ressources matérielles et logicielles de ses systèmes d’information.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";
"5.B.2-EI/EE";"L’entité maintient à jour les bases de connaissances des outils de protection contre les codes malveillants qu’elle utilise (par exemple : la mise à jour de la base antivirale de l’antivirus, la mise à jour des signatures utilisées par la solution d’EDR).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";
"5.B.3-EI/EE";"L’entité met en œuvre une veille sur les vulnérabilités, les correctifs de sécurité et les mesures d’atténuation préconisées susceptibles de concerner les ressources de ses systèmes d’information, qui sont diffusées notamment par les fournisseurs ou les fabricants de ces ressources, par un prestataire mandaté ou par des centres de prévention et d’alerte en matière de cyber sécurité tels que le CERT-FR (centre gouvernemental de veille, d’alerte et de réponse aux attaques informatiques) ou les CSIRT (centres de réponse aux incidents de sécurité informatique).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";
"5.B.4-EI/EE";"L’entité met en œuvre, au regard de la nature de la vulnérabilité :
•	sans délai : les actions visant à l’installation des correctifs de sécurité (par exemple : le déploiement en environnement de test, pré-production et production, mécanismes de rollback) ;
•	sans retard injustifié : l’application effective des correctifs de sécurité après la réalisation des actions précédentes
sur les ressources exposées à des systèmes d’information tiers (par exemple : un serveur Web, un pare-feu exposé sur Internet, un serveur de messagerie) et les postes de travail des utilisateurs.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle"
"5.B.5-EE";"L’entité planifie et installe sur l’ensemble de ses ressources, y compris celles non exposées à des systèmes d’information tiers, les correctifs de sécurité.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteEssentielle"
"5.B.6-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas l’installation des correctifs de sécurité sur les ressources concernées, l’entité met en œuvre des mesures d’atténuation pour réduire les risques liés à l’utilisation d’une version comportant des vulnérabilités connues (par exemple : isoler la ressource du reste du SI, mettre en place un contrôle d'accès renforcé).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle"
"5.B.7-EI/EE";"L’entité met en œuvre sans délai les actions visant à l’installation et le maintien à jour des ressources logicielles de ses systèmes d’information, y compris les logiciels embarqués, dans des versions bénéficiant d’un support par leurs fournisseurs ou leurs fabricants et comportant les mises à jour de sécurité.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle"
"5.B.8-EI/EE";"L’entité vérifie que toute nouvelle version d’un logiciel est téléchargée depuis les ressources officielles mises à disposition par les éditeurs ou les fournisseurs.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle"
"5.B.9-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas l’installation d’une version supportée par le fournisseur ou l’éditeur, l’entité met en œuvre des mesures pour réduire les risques liés à l’utilisation d’une version obsolète.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle"
"6.1-EI/EE";"L’entité met en place des mesures de sécurité permettant de limiter l’accès de personnes non autorisées à ses locaux, ses salles serveurs et ses locaux techniques (par exemple : tenue d’un registre des visiteurs, badges d’accès, etc).";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteImportante, EntiteEssentielle"
"6.2-EE";"L’entité s’assure de la protection physique des locaux, salles serveurs et locaux techniques (par exemple : vidéosurveillance, gardiennage, alarme).
Cette protection physique permet de prévenir, de surveiller et de réagir aux accès non autorisés à ces locaux.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteEssentielle"
"6.3-EE";"L’entité s’assure que les droits d'accès physique sont attribués au regard du besoin strictement nécessaire à l’exécution des missions des personnes.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteEssentielle"
"6.4-EI/EE";"L'entité s'assure que les personnes externes accédant aux locaux techniques et salles serveurs de l’entité sont accompagnées ou dûment autorisées.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteImportante, EntiteEssentielle"
"7.A.1-EI/EE";"L’entité cloisonne physiquement et/ou logiquement l’ensemble de ses systèmes d’information vis-à-vis des autres systèmes d’information, y compris des systèmes d’information pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité et les systèmes d’information tiers (par exemple : cloisonnement logique par VLAN – réseau local virtuel - (réseau), par VM – machine virtuelle - (calcul) ou par volume (stockage)).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteImportante, EntiteEssentielle"
"7.A.2-EE";"L’entité cloisonne physiquement et/ou logiquement chaque système d’information vis-à-vis des autres systèmes d’information, y compris des systèmes d’information pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité et des systèmes d’information tiers (par exemple : un système d’information est cloisonné logiquement des autres systèmes d’information de l’entité. Il est aussi cloisonné physiquement des systèmes d’information de l’entité pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle"
"7.A.3-EE";"L’entité mène des réflexions, pour chaque système d’information, sur la pertinence de définir des sous-systèmes. Lorsqu’elle n’identifie aucun sous-système, l’entité en apporte la justification.
Un sous-système regroupe des ressources assurant des fonctionnalités similaires et ayant des niveaux de sensibilité, d’exposition et de sécurité homogènes.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle"
"7.A.4-EE";"Les sous-systèmes identifiés à la mesure 7.A.4-EE sont cloisonnés entre eux physiquement et/ou logiquement.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle"
"7.A.5-EE";"L’entité met en œuvre au moins un sous-système “passerelle sortante” permettant :
•	aux ressources de ses systèmes d’information d’accéder aux systèmes d’informations tiers ;
•	d’authentifier, de filtrer et de tracer les accès aux systèmes d’information tiers (par exemple : un serveur mandataire).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle"
"7.A.6-EE";"L’entité met en œuvre au moins un sous-système “passerelle entrante” permettant :
•	d’exposer des ressources de ses systèmes d’information aux systèmes d’information tiers ;
•	de filtrer et de tracer les accès depuis des systèmes d’information tiers (par exemple : un serveur mandataire inverse ou un relai).";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle"
"7.A.7-EI/EE";"Seules les interconnexions nécessaires à la réalisation des activités et services de l’entité ou au maintien en condition opérationnelle ou de sécurité sont mises en œuvre entre l’ensemble des systèmes d’information et, d’une part les systèmes d’information tiers et, d’autre part les autres systèmes d’information sous la responsabilité de l’entité pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteImportante, EntiteEssentielle"
"7.A.8-EE";"Seules les interconnexions nécessaires à la réalisation des activités et services de l’entité ou au maintien en condition opérationnelle ou de sécurité sont mises en œuvre entre chaque système d’information et, d’une part les systèmes d’information tiers et, d’autre part les autres systèmes d’information sous la responsabilité de l’entité pour lesquels elle a décidé de ne pas appliquer les objectifs de sécurité, ou entre les sous-systèmes du système d’information.";"Objectif de sécurité 7: Sécurisation de l'architecture des systèmes d'information";"Cloisonnement";"EntiteEssentielle"
